parent_station,stop_lon,stop_lat,stop_id,stop_name,location_type
,-4.0157481,5.3089287,node/6904171077,Résidence Cheick Yacouba Sylla,0
,-4.0142576,5.3094876,node/6904171078,Marché Treichville,0
,-4.0099697,5.3109791,node/6904171079,[Arret sans nom],0
,-4.006092,5.3126563,node/6904171080,Biafra,0
,-3.9933399,5.3076251,node/6904171081,Banque Atlantique,0
,-3.9888629,5.3052787,node/6904171082,Hôtel Hamanieh,0
,-3.9869873,5.3043423,node/6904171083,Sainte Thérèse,0
,-3.9858381,5.3064581,node/6904171084,Commissariat du 9 ème,0
,-3.9839517,5.3088083,node/6904188585,Gare Marcory,0
,-4.0281877,5.3589119,node/6905326498,Gare Nord,0
,-4.0307925,5.4366266,node/6905326503,Château,0
,-4.0219308,5.3843543,node/6905344262,Préfecture de Police,0
,-4.0351608,5.4375564,node/6905344263,Arrêt Centre Bus,0
,-4.0390169,5.4384645,node/6905344264,Terminus 45 À l'escalier,0
,-4.0351391,5.4378844,node/6905344265,Arrêt Centre Bus,0
,-4.0299554,5.4365245,node/6905344266,Château,0
,-4.0259685,5.4328931,node/6905344267,Arrêt,0
,-4.0222108,5.4284112,node/6905344268,Gendarmerie,0
,-4.0219627,5.3836534,node/6905344273,Préfecture de Police,0
,-4.0225102,5.4284566,node/6905553518,Gendarmerie,0
,-4.0261674,5.4327155,node/6905553519,[Arret sans nom],0
,-4.0256884,5.3485701,node/6905719605,Foire de Chine,0
,-4.0206943,5.3299376,node/6905719606,Église Méthodiste Unie de Côte d'Ivoire,0
,-4.0201163,5.3251345,node/6905719607,60 logements Plateau,0
,-4.0177138,5.3087867,node/6905719608,Hôpital du port,0
,-4.0148424,5.3097288,node/6905719609,Maison du Congres,0
,-4.0116929,5.3073425,node/6905719610,Pharmacie du Rond-point,0
,-4.0069793,5.3090218,node/6905719611,[Arret sans nom],0
,-4.005442,5.3080275,node/6905719612,Nanan Yamousso,0
,-4.0043543,5.3048828,node/6905719613,Paroisse Notre-Dame de Treichville,0
,-4.0015648,5.3045623,node/6905719614,Pharmacie de l'Entente,0
,-3.998829,5.3055251,node/6905719615,Marché de Belleville,0
,-3.9931172,5.3075214,node/6905719616,Banque Atlantique,0
,-3.9887868,5.3049722,node/6905719617,Hôtel Hamanieh,0
,-3.986118,5.3055778,node/6905719618,Commissariat du 9éme,0
,-3.9847286,5.308097,node/6905719619,Station Shell,0
,-4.0284151,5.3584965,node/6905719620,[Arret sans nom],0
,-4.0304951,5.357702,node/6905719621,[Arret sans nom],0
