route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
r11529405,Mo-Su,r11529403_Mo-Su,Sicogi,1,r11529403
r11529699,Mo-Su,r11529698_Mo-Su,Akouédo,0,r11529698
r11529699,Mo-Su,r11529697_Mo-Su,9 kilo,1,r11529697
r11531745,Mo-Su,r11531744_Mo-Su,Ciad Eden,0,r11531744
r11531745,Mo-Su,r11531743_Mo-Su,9 kilo,1,r11531743
r11531813,Mo-Su,r11531812_Mo-Su,Sol Beni au bateau,0,r11531812
r11531813,Mo-Su,r11531811_Mo-Su,9 kilo,1,r11531811
r11531971,Mo-Su,r11531969_Mo-Su,Gare Bonoumin,0,r11531969
r11531971,Mo-Su,r11531970_Mo-Su,Abri 2000,1,r11531970
r11532200,Mo-Su,r11532198_Mo-Su,Station après barage,0,r11532198
r11532200,Mo-Su,r11532199_Mo-Su,CHU Angré,1,r11532199
r11532307,Mo-Su,r11532305_Mo-Su,Station après barage,0,r11532305
r11532307,Mo-Su,r11532306_Mo-Su,Rosier Programme 6,1,r11532306
r11532430,Mo-Su,r11532428_Mo-Su,Station après barage,0,r11532428
r11532430,Mo-Su,r11532429_Mo-Su,Petro ivoire,1,r11532429
r11532537,Mo-Su,r11532535_Mo-Su,Rivera 2,0,r11532535
r11532537,Mo-Su,r11532536_Mo-Su,Anono,1,r11532536
r11535716,Mo-Su,r11535714_Mo-Su,Treichville Rue 12,0,r11535714
r11535716,Mo-Su,r11535715_Mo-Su,Anoumabo sans fil,1,r11535715
r11538371,Mo-Su,r11538370_Mo-Su,Maison Blanche,0,r11538370
r11538371,Mo-Su,r11538369_Mo-Su,Carrefour Lycée,1,r11538369
r11538539,Mo-Su,r11538538_Mo-Su,Maison Blanche,0,r11538538
r11538539,Mo-Su,r11538537_Mo-Su,Gare Sotra Marcory,1,r11538537
r11538775,Mo-Su,r11538774_Mo-Su,CTAO,0,r11538774
r11538775,Mo-Su,r11569013_Mo-Su,Carrefour Lycée,1,r11569013
r11539470,Mo-Su,r11539469_Mo-Su,CTAO,0,r11539469
r11539470,Mo-Su,r11539468_Mo-Su,Gare Sotra Marcory,1,r11539468
r11539584,Mo-Su,r11539583_Mo-Su,Mairie de Marcory,0,r11539583
r11539584,Mo-Su,r11539582_Mo-Su,Hibiscus,1,r11539582
r11539651,Mo-Su,r11539650_Mo-Su,9 Kilo,0,r11539650
r11539651,Mo-Su,r11539649_Mo-Su,Elisée Vierra,1,r11539649
r11539787,Mo-Su,r11539785_Mo-Su,Saint Jean,0,r11539785
r11539787,Mo-Su,r11539786_Mo-Su,Blockhauss,1,r11539786
r11543111,Mo-Su,r11543110_Mo-Su,CHU,0,r11543110
r11543111,Mo-Su,r11543109_Mo-Su,Gare de Warren Blockauss,1,r11543109
r11543163,Mo-Su,r11543162_Mo-Su,La vie,0,r11543162
r11543163,Mo-Su,r11543161_Mo-Su,Gare de Warren Blockauss,1,r11543161
r11543219,Mo-Su,r11543218_Mo-Su,Feu de la patisserie,0,r11543218
r11543219,Mo-Su,r11543217_Mo-Su,Gare de Warren Blockauss,1,r11543217
r11543567,Mo-Su,r11543566_Mo-Su,Akouédo,0,r11543566
r11543567,Mo-Su,r11543565_Mo-Su,Station Riviera 2,1,r11543565
r11543885,Mo-Su,r11543884_Mo-Su,Terminus M'pouto,0,r11543884
r11543885,Mo-Su,r11543883_Mo-Su,Station Riviera 2,1,r11543883
r11544387,Mo-Su,r11544386_Mo-Su,Toit Rouge,0,r11544386
r11544387,Mo-Su,r11544385_Mo-Su,Siporex au feux,1,r11544385
r11544470,Mo-Su,r11544469_Mo-Su,Yopougon Koweit,0,r11544469
r11544470,Mo-Su,r11544468_Mo-Su,Siporex,1,r11544468
r11548462,Mo-Su,r11548461_Mo-Su,Andokoi,0,r11548461
r11548462,Mo-Su,r11548460_Mo-Su,Siporex,1,r11548460
r11555785,Mo-Su,r11555783_Mo-Su,Sapeur Pompier,0,r11555783
r11555785,Mo-Su,r11555784_Mo-Su,Camp Militaire,1,r11555784
r11555928,Mo-Su,r11555927_Mo-Su,Terminus 40,0,r11555927
r11555928,Mo-Su,r11555926_Mo-Su,Sapeur Pompier,1,r11555926
r11569330,Mo-Su,r11569329_Mo-Su,Yopougon Prison Civil,0,r11569329
r11569330,Mo-Su,r11569328_Mo-Su,Yopougon Gabriel Gare,1,r11569328
r11569444,Mo-Su,r11569443_Mo-Su,Camp Militaire,0,r11569443
r11569444,Mo-Su,r11569442_Mo-Su,Siporex,1,r11569442
r11572895,Mo-Su,r11572894_Mo-Su,Mossikro,0,r11572894
r11572895,Mo-Su,r11572893_Mo-Su,Gabriel Gare,1,r11572893
r11573879,Mo-Su,r11573878_Mo-Su,Terminus derrière Rail,0,r11573878
r11573879,Mo-Su,r11600819_Mo-Su,Abobo Gare,1,r11600819
r11578622,Mo-Su,r11578621_Mo-Su,Koweit,0,r11578621
r11578622,Mo-Su,r11578620_Mo-Su,Complexe,1,r11578620
r11580511,Mo-Su,r11580510_Mo-Su,Toit rouge Jean-Paul 2,0,r11580510
r11580511,Mo-Su,r11580509_Mo-Su,BHCI,1,r11580509
r11580548,Mo-Su,r11580546_Mo-Su,Lama Fofana,0,r11580546
r11580548,Mo-Su,r11580547_Mo-Su,BHCI,1,r11580547
r11581068,Mo-Su,r11581067_Mo-Su,Sapeur Pompier,0,r11581067
r11581068,Mo-Su,r11581066_Mo-Su,BHCI,1,r11581066
r11581116,Mo-Su,r11581115_Mo-Su,Toit rouge Jean-Paul 2,0,r11581115
r11581116,Mo-Su,r11581114_Mo-Su,Palais,1,r11581114
r11581529,Mo-Su,r11581528_Mo-Su,Saguidiba,0,r11581528
r11581529,Mo-Su,r11581527_Mo-Su,Camp Militaire,1,r11581527
r11581693,Mo-Su,r11581691_Mo-Su,Camp Militaire,0,r11581691
r11581693,Mo-Su,r11581692_Mo-Su,Abobo Doumé,1,r11581692
r11581772,Mo-Su,r11581770_Mo-Su,Zoo,0,r11581770
r11581772,Mo-Su,r11581771_Mo-Su,Pont Soro,1,r11581771
r11581798,Mo-Su,r11581797_Mo-Su,Mossikro,0,r11581797
r11581798,Mo-Su,r11581796_Mo-Su,Sable nouveau goudron,1,r11581796
r11581822,Mo-Su,r11581820_Mo-Su,Zoo,0,r11581820
r11581822,Mo-Su,r11581821_Mo-Su,Cascades,1,r11581821
r11581842,Mo-Su,r11581841_Mo-Su,Millionnaire Antenne,0,r11581841
r11581842,Mo-Su,r11581840_Mo-Su,Sable nouveau goudron,1,r11581840
r11581878,Mo-Su,r11581876_Mo-Su,Zoo,0,r11581876
r11581878,Mo-Su,r11581877_Mo-Su,Zinssou,1,r11581877
r11583609,Mo-Su,r11583591_Mo-Su,Saguidiba,0,r11583591
r11583609,Mo-Su,r11583590_Mo-Su,Sapeur Pompier,1,r11583590
r11583655,Mo-Su,r11583653_Mo-Su,Camp Militaire,0,r11583653
r11583655,Mo-Su,r11583652_Mo-Su,Palais,1,r11583652
r11583703,Mo-Su,r11583702_Mo-Su,Toit rouge Jean-Paul 2,0,r11583702
r11583703,Mo-Su,r11583701_Mo-Su,Koweit,1,r11583701
r11583900,Mo-Su,r11583899_Mo-Su,Koweit,0,r11583899
r11583900,Mo-Su,r11583898_Mo-Su,Camp Militaire,1,r11583898
r11588596,Mo-Su,r11588595_Mo-Su,Sapeur Pompier,0,r11588595
r11588596,Mo-Su,r11588594_Mo-Su,Palais,1,r11588594
r11588862,Mo-Su,r11588861_Mo-Su,Complexe,0,r11588861
r11588862,Mo-Su,r11588860_Mo-Su,BHCI,1,r11588860
r11588965,Mo-Su,r11588964_Mo-Su,Nouveau Goudron,0,r11588964
r11588965,Mo-Su,r11588963_Mo-Su,Keneya,1,r11588963
r11589210,Mo-Su,r11589209_Mo-Su,Sable nouveau groudron,0,r11589209
r11589210,Mo-Su,r11589208_Mo-Su,Zone industrielle,1,r11589208
r11591910,Mo-Su,r11591909_Mo-Su,Vallon,0,r11591909
r11591910,Mo-Su,r11591908_Mo-Su,Gare carrefour 2 plateaux,1,r11591908
r11592007,Mo-Su,r11592006_Mo-Su,Commissariat du 12è,0,r11592006
r11592007,Mo-Su,r11592005_Mo-Su,Gare carrefour 2 plateaux,1,r11592005
r11592064,Mo-Su,r11592063_Mo-Su,Saint Michel,0,r11592063
r11592064,Mo-Su,r11592062_Mo-Su,Adjamé Liberté,1,r11592062
r11592121,Mo-Su,r11592120_Mo-Su,Zoo,0,r11592120
r11592121,Mo-Su,r11592119_Mo-Su,Opera,1,r11592119
r11592212,Mo-Su,r11592211_Mo-Su,Sable,0,r11592211
r11592212,Mo-Su,r11592210_Mo-Su,Carrefour CHU,1,r11592210
r11592326,Mo-Su,r11592325_Mo-Su,Terminus Derrière Rail Celeste,0,r11592325
r11592326,Mo-Su,r11592324_Mo-Su,Abobo Gendarmerie,1,r11592324
r11592385,Mo-Su,r11592384_Mo-Su,Zone industrielle,0,r11592384
r11592385,Mo-Su,r11592383_Mo-Su,Carrefour Zone,1,r11592383
r11592419,Mo-Su,r11592418_Mo-Su,Micao,0,r11592418
r11592419,Mo-Su,r11592417_Mo-Su,Carrefour Zone,1,r11592417
r11592466,Mo-Su,r11592464_Mo-Su,Keneya,0,r11592464
r11592466,Mo-Su,r11592465_Mo-Su,Carrefour CHU,1,r11592465
r11592497,Mo-Su,r11592495_Mo-Su,Kennedy,0,r11592495
r11592497,Mo-Su,r11592496_Mo-Su,Abobo Marché,1,r11592496
r11592571,Mo-Su,r11592569_Mo-Su,Mairie,0,r11592569
r11592571,Mo-Su,r11592570_Mo-Su,Gabriel Gare,1,r11592570
r11592766,Mo-Su,r11592765_Mo-Su,Dokui,0,r11592765
r11592766,Mo-Su,r11592764_Mo-Su,Abobo Marché,1,r11592764
r11592774,Mo-Su,r11592773_Mo-Su,Gabriel Gare,0,r11592773
r11592774,Mo-Su,r11592772_Mo-Su,Bel air,1,r11592772
r11592840,Mo-Su,r11592839_Mo-Su,Coopec ananeraie,0,r11592839
r11592840,Mo-Su,r11592838_Mo-Su,Carrefour Oasis,1,r11592838
r11592897,Mo-Su,r11592896_Mo-Su,Houphouet-Boigny,0,r11592896
r11592897,Mo-Su,r11592895_Mo-Su,Abobo marché,1,r11592895
r11592959,Mo-Su,r11592958_Mo-Su,Carrefour kennedy,0,r11592958
r11592959,Mo-Su,r11592957_Mo-Su,Abobo Marche,1,r11592957
r11593183,Mo-Su,r11593182_Mo-Su,Grand Carrefour,0,r11593182
r11593183,Mo-Su,r11593181_Mo-Su,Ancienne Gendarmerie,1,r11593181
r11596432,Mo-Su,r11596430_Mo-Su,Keneya,0,r11596430
r11596432,Mo-Su,r11596431_Mo-Su,Coopec ananeraie,1,r11596431
r11596455,Mo-Su,r11596454_Mo-Su,Keneya,0,r11596454
r11596455,Mo-Su,r11596453_Mo-Su,Bel air,1,r11596453
r11596584,Mo-Su,r11596582_Mo-Su,Palais,0,r11596582
r11596584,Mo-Su,r11596583_Mo-Su,Koweit,1,r11596583
r11596698,Mo-Su,r11596696_Mo-Su,Palais,0,r11596696
r11596698,Mo-Su,r11596697_Mo-Su,Abobo Doumé,1,r11596697
r11596735,Mo-Su,r11596734_Mo-Su,Mossikro,0,r11596734
r11596735,Mo-Su,r11596733_Mo-Su,Bel air,1,r11596733
r11596752,Mo-Su,r11596751_Mo-Su,Millionnaire Antenne,0,r11596751
r11596752,Mo-Su,r11596750_Mo-Su,Bel air,1,r11596750
r11596793,Mo-Su,r11596792_Mo-Su,Toit rouge Jean-Paul 2,0,r11596792
r11596793,Mo-Su,r11596791_Mo-Su,Sapeur Pompier,1,r11596791
r11596832,Mo-Su,r11596830_Mo-Su,Toit rouge Jean-Paul 2,0,r11596830
r11596832,Mo-Su,r11596831_Mo-Su,Abobo Doumé,1,r11596831
r11596845,Mo-Su,r11596844_Mo-Su,Mairie d'Anyama,0,r11596844
r11596845,Mo-Su,r11596843_Mo-Su,Gare d'Anyama,1,r11596843
r11596868,Mo-Su,r11596867_Mo-Su,Sable,0,r11596867
r11596868,Mo-Su,r11596866_Mo-Su,Koweit,1,r11596866
r11596890,Mo-Su,r11596888_Mo-Su,Koweit,0,r11596888
r11596890,Mo-Su,r11596889_Mo-Su,Abobo Doumé,1,r11596889
r11597012,Mo-Su,r11597011_Mo-Su,Houphouet-Boigny,0,r11597011
r11597012,Mo-Su,r11597010_Mo-Su,Lycée Moderne d'Abobo,1,r11597010
r11597021,Mo-Su,r11597019_Mo-Su,Mossikro,0,r11597019
r11597021,Mo-Su,r11597020_Mo-Su,Abobo Doumé Santé,1,r11597020
r11597137,Mo-Su,r11597136_Mo-Su,BC Carrefour Niamkey,0,r11597136
r11597137,Mo-Su,r11597122_Mo-Su,Abobo Gendarmerie,1,r11597122
r11597169,Mo-Su,r11597168_Mo-Su,BC,0,r11597168
