trip_id,start_time,end_time,headway_secs
r11531812_Mo-Su,05:00:00,22:00:00,300
r11531811_Mo-Su,05:00:00,22:00:00,300
r11531969_Mo-Su,05:00:00,22:00:00,300
r11531970_Mo-Su,05:00:00,22:00:00,300
r11532198_Mo-Su,05:00:00,22:00:00,300
r11532199_Mo-Su,05:00:00,22:00:00,300
r11532305_Mo-Su,05:00:00,22:00:00,300
r11532306_Mo-Su,05:00:00,22:00:00,300
r11532428_Mo-Su,05:00:00,22:00:00,300
r11532429_Mo-Su,05:00:00,22:00:00,300
r11532535_Mo-Su,05:00:00,22:00:00,300
r11532536_Mo-Su,05:00:00,22:00:00,300
r11535714_Mo-Su,05:00:00,22:00:00,300
r11535715_Mo-Su,05:00:00,22:00:00,300
r11538370_Mo-Su,05:00:00,22:00:00,3600
r11538369_Mo-Su,05:00:00,22:00:00,3600
r11538538_Mo-Su,05:00:00,22:00:00,3600
r11538537_Mo-Su,05:00:00,22:00:00,3600
r11538774_Mo-Su,05:00:00,22:00:00,3600
r11569013_Mo-Su,05:00:00,22:00:00,3600
r11539469_Mo-Su,05:00:00,22:00:00,3600
r11539468_Mo-Su,05:00:00,22:00:00,3600
r11539583_Mo-Su,05:00:00,22:00:00,3600
r11539582_Mo-Su,05:00:00,22:00:00,3600
r11539650_Mo-Su,05:00:00,22:00:00,3600
r11539649_Mo-Su,05:00:00,22:00:00,3600
r11539785_Mo-Su,05:00:00,22:00:00,300
r11539786_Mo-Su,05:00:00,22:00:00,300
r11543110_Mo-Su,05:00:00,22:00:00,3600
r11543109_Mo-Su,05:00:00,22:00:00,3600
r11543162_Mo-Su,05:00:00,22:00:00,3600
r11543161_Mo-Su,05:00:00,22:00:00,3600
r11543218_Mo-Su,05:00:00,22:00:00,3600
r11543217_Mo-Su,05:00:00,22:00:00,3600
r11543566_Mo-Su,05:00:00,22:00:00,3600
r11543565_Mo-Su,05:00:00,22:00:00,3600
r11543884_Mo-Su,05:00:00,22:00:00,3600
r11543883_Mo-Su,05:00:00,22:00:00,3600
r11544386_Mo-Su,05:00:00,22:00:00,3600
r11544385_Mo-Su,05:00:00,22:00:00,3600
r11544469_Mo-Su,05:00:00,22:00:00,3600
r11544468_Mo-Su,05:00:00,22:00:00,3600
r11548461_Mo-Su,05:00:00,22:00:00,1200
r11548460_Mo-Su,05:00:00,22:00:00,1800
r11555783_Mo-Su,05:00:00,22:00:00,3600
r11555784_Mo-Su,05:00:00,22:00:00,3600
r11555927_Mo-Su,05:00:00,22:00:00,300
r11555926_Mo-Su,05:00:00,22:00:00,300
r11569329_Mo-Su,05:00:00,22:00:00,1200
r11569328_Mo-Su,05:00:00,22:00:00,1200
r11569443_Mo-Su,05:00:00,22:00:00,1200
r11569442_Mo-Su,05:00:00,22:00:00,1200
r11572894_Mo-Su,05:00:00,22:00:00,1800
r11572893_Mo-Su,05:00:00,22:00:00,1800
r11573878_Mo-Su,05:00:00,22:00:00,600
r11600819_Mo-Su,05:00:00,22:00:00,600
r11578621_Mo-Su,05:00:00,22:00:00,1200
r11578620_Mo-Su,05:00:00,22:00:00,1200
r11580510_Mo-Su,05:00:00,22:00:00,600
r11580509_Mo-Su,05:00:00,22:00:00,600
r11580546_Mo-Su,05:00:00,22:00:00,600
r11580547_Mo-Su,05:00:00,22:00:00,600
r11581067_Mo-Su,05:00:00,22:00:00,600
r11581066_Mo-Su,05:00:00,22:00:00,600
r11581115_Mo-Su,05:00:00,22:00:00,600
r11581114_Mo-Su,05:00:00,22:00:00,600
r11581528_Mo-Su,05:00:00,22:00:00,900
r11581527_Mo-Su,05:00:00,22:00:00,900
r11581691_Mo-Su,05:00:00,22:00:00,1200
r11581692_Mo-Su,05:00:00,22:00:00,1200
r11581770_Mo-Su,05:00:00,22:00:00,900
r11581771_Mo-Su,05:00:00,22:00:00,900
r11581797_Mo-Su,05:00:00,22:00:00,600
r11581796_Mo-Su,05:00:00,22:00:00,600
r11581820_Mo-Su,05:00:00,22:00:00,900
r11581821_Mo-Su,05:00:00,22:00:00,900
r11581841_Mo-Su,05:00:00,22:00:00,600
r11581840_Mo-Su,05:00:00,22:00:00,600
r11581876_Mo-Su,05:00:00,22:00:00,900
r11581877_Mo-Su,05:00:00,22:00:00,900
r11583591_Mo-Su,05:00:00,22:00:00,600
r11583590_Mo-Su,05:00:00,22:00:00,600
r11583653_Mo-Su,05:00:00,22:00:00,900
r11583652_Mo-Su,05:00:00,22:00:00,900
r11583702_Mo-Su,05:00:00,22:00:00,600
r11583701_Mo-Su,05:00:00,22:00:00,600
r11583899_Mo-Su,05:00:00,22:00:00,600
r11583898_Mo-Su,05:00:00,22:00:00,600
r11588595_Mo-Su,05:00:00,22:00:00,300
r11588594_Mo-Su,05:00:00,22:00:00,300
r11588861_Mo-Su,05:00:00,22:00:00,600
r11588860_Mo-Su,05:00:00,22:00:00,600
r11588964_Mo-Su,05:00:00,22:00:00,600
r11588963_Mo-Su,05:00:00,22:00:00,600
r11589209_Mo-Su,05:00:00,22:00:00,600
r11589208_Mo-Su,05:00:00,22:00:00,600
r11591909_Mo-Su,05:00:00,22:00:00,1800
r11591908_Mo-Su,05:00:00,22:00:00,1800
r11592006_Mo-Su,05:00:00,22:00:00,1800
r11592005_Mo-Su,05:00:00,22:00:00,1800
r11592063_Mo-Su,05:00:00,22:00:00,3600
r11592062_Mo-Su,05:00:00,22:00:00,3600
r11592120_Mo-Su,05:00:00,22:00:00,900
r11592119_Mo-Su,05:00:00,22:00:00,900
r11592211_Mo-Su,05:00:00,22:00:00,600
r11592210_Mo-Su,05:00:00,22:00:00,600
r11592325_Mo-Su,05:00:00,22:00:00,600
r11592324_Mo-Su,05:00:00,22:00:00,600
r11592384_Mo-Su,05:00:00,22:00:00,300
r11592383_Mo-Su,05:00:00,22:00:00,300
r11592418_Mo-Su,05:00:00,22:00:00,900
r11592417_Mo-Su,05:00:00,22:00:00,900
r11592464_Mo-Su,05:00:00,22:00:00,600
r11592465_Mo-Su,05:00:00,22:00:00,600
r11592495_Mo-Su,05:00:00,22:00:00,600
r11592496_Mo-Su,05:00:00,22:00:00,600
r11592569_Mo-Su,05:00:00,22:00:00,300
r11592570_Mo-Su,05:00:00,22:00:00,300
r11592765_Mo-Su,05:00:00,22:00:00,900
r11592764_Mo-Su,05:00:00,22:00:00,900
r11592773_Mo-Su,05:00:00,22:00:00,600
r11592772_Mo-Su,05:00:00,22:00:00,600
r11592839_Mo-Su,05:00:00,22:00:00,600
r11592838_Mo-Su,05:00:00,22:00:00,600
r11592896_Mo-Su,05:00:00,22:00:00,600
r11592895_Mo-Su,05:00:00,22:00:00,600
r11592958_Mo-Su,05:00:00,22:00:00,600
r11592957_Mo-Su,05:00:00,22:00:00,600
r11593182_Mo-Su,05:00:00,22:00:00,900
r11593181_Mo-Su,05:00:00,22:00:00,900
r11596430_Mo-Su,05:00:00,22:00:00,600
r11596431_Mo-Su,05:00:00,22:00:00,600
r11596454_Mo-Su,05:00:00,22:00:00,300
r11596453_Mo-Su,05:00:00,22:00:00,300
r11596582_Mo-Su,05:00:00,22:00:00,600
r11596583_Mo-Su,05:00:00,22:00:00,600
r11596696_Mo-Su,05:00:00,22:00:00,600
r11596697_Mo-Su,05:00:00,22:00:00,600
r11596734_Mo-Su,05:00:00,22:00:00,300
r11596733_Mo-Su,05:00:00,22:00:00,300
r11596751_Mo-Su,05:00:00,22:00:00,300
r11596750_Mo-Su,05:00:00,22:00:00,300
r11596792_Mo-Su,05:00:00,22:00:00,600
r11596791_Mo-Su,05:00:00,22:00:00,600
r11596830_Mo-Su,05:00:00,22:00:00,1200
r11596831_Mo-Su,05:00:00,22:00:00,1200
r11596844_Mo-Su,05:00:00,22:00:00,600
r11596843_Mo-Su,05:00:00,22:00:00,600
r11596867_Mo-Su,05:00:00,22:00:00,600
r11596866_Mo-Su,05:00:00,22:00:00,600
